alignment,combat,durability,gender,height,id,image,intelligence,name,power,publisher,race,speed,strength,weight
bad,70,28,Male,165 cm,83,https://www.superherodb.com/pictures2/portraits/10/100/1038.jpg,75,Big Man,19,Marvel Comics,null,23,12,71 kg
good,null,null,Female,180 cm,86,https://www.superherodb.com/pictures2/portraits/10/100/30.jpg,null,Binary,null,Captain Marvel,null,null,null,54 kg
bad,null,null,Male,0 cm,85,https://www.superherodb.com/pictures2/portraits/10/100/1072.jpg,null,Billy Kincaid,null,Image Comics,null,null,null,0 kg
good,40,40,Female,0 cm,87,https://www.superherodb.com/pictures2/portraits/10/100/10648.jpg,56,Bionic Woman,20,,Cyborg,33,37,0 kg
good,42,28,-,0 cm,88,https://www.superherodb.com/pictures2/portraits/10/100/240.jpg,25,Bird-Brain,21,Marvel Comics,null,35,10,0 kg
bad,null,null,Male,0 cm,89,https://www.superherodb.com/pictures2/portraits/10/100/1503.jpg,null,Bird-Man,null,Marvel Comics,Human,null,null,0 kg
good,65,75,Male,198 cm,92,https://www.superherodb.com/pictures2/portraits/10/100/31.jpg,63,Bishop,100,Marvel Comics,Mutant,23,14,124 kg
bad,null,null,Male,0 cm,90,https://www.superherodb.com/pictures2/portraits/10/100/1504.jpg,null,Bird-Man II,null,Marvel Comics,Human,null,null,0 kg
good,null,null,Male,0 cm,91,https://www.superherodb.com/pictures2/portraits/10/100/1506.jpg,null,Birdman,null,Hanna-Barbera,God / Eternal,null,35,0 kg
bad,null,null,Male,0 cm,94,https://www.superherodb.com/pictures2/portraits/10/100/1049.jpg,null,Black Abbott,null,Marvel Comics,null,null,null,0 kg
bad,56,100,Male,191 cm,95,https://www.superherodb.com/pictures2/portraits/10/100/643.jpg,88,Black Adam,100,DC Comics,null,92,100,113 kg
good,80,20,Female,170 cm,97,https://www.superherodb.com/pictures2/portraits/10/100/1005.jpg,63,Black Canary,52,DC Comics,Metahuman,33,8,59 kg
good,56,84,Male,188 cm,96,https://www.superherodb.com/pictures2/portraits/10/100/243.jpg,75,Black Bolt,100,Marvel Comics,Inhuman,100,67,95 kg
good,80,15,Female,165 cm,98,https://www.superherodb.com/pictures2/portraits/10/100/644.jpg,63,Black Canary,45,DC Comics,Human,33,8,58 kg
good,70,10,Female,178 cm,99,https://www.superherodb.com/pictures2/portraits/10/100/32.jpg,75,Black Cat,23,Marvel Comics,Human,33,16,54 kg
good,null,null,Male,0 cm,101,https://www.superherodb.com/pictures2/portraits/10/100/245.jpg,null,Black Goliath,null,Marvel Comics,null,null,null,0 kg
neutral,30,80,Male,0 cm,100,https://www.superherodb.com/pictures2/portraits/10/100/10831.jpg,44,Black Flash,100,DC Comics,God / Eternal,100,10,0 kg
good,70,70,Male,183 cm,102,https://www.superherodb.com/pictures2/portraits/10/100/246.jpg,63,Black Knight III,43,Marvel Comics,Human,8,10,86 kg
bad,85,60,Male,188 cm,105,https://www.superherodb.com/pictures2/portraits/10/100/10546.jpg,75,Black Manta,76,DC Comics,Human,50,28,92 kg
good,75,28,Male,185 cm,103,https://www.superherodb.com/pictures2/portraits/10/100/1128.jpg,50,Black Lightning,70,DC Comics,null,53,11,90 kg
bad,65,42,Female,170 cm,104,https://www.superherodb.com/pictures2/portraits/10/100/1106.jpg,75,Black Mamba,88,Marvel Comics,null,35,10,52 kg
good,100,60,Male,183 cm,106,https://www.superherodb.com/pictures2/portraits/10/100/247.jpg,88,Black Panther,41,Marvel Comics,Human,30,16,90 kg
neutral,85,100,Male,191 cm,93,https://www.superherodb.com/pictures2/portraits/10/100/642.jpg,38,Bizarro,100,DC Comics,Bizarro,100,95,155 kg
good,100,30,Female,170 cm,107,https://www.superherodb.com/pictures2/portraits/10/100/248.jpg,75,Black Widow,36,Marvel Comics,Human,33,13,59 kg
bad,65,80,Male,191 cm,109,https://www.superherodb.com/pictures2/portraits/10/100/1507.jpg,63,Blackout,45,Marvel Comics,Demon,45,32,104 kg
good,null,null,Female,170 cm,108,https://www.superherodb.com/pictures2/portraits/10/100/618.jpg,null,Black Widow II,null,Marvel Comics,null,null,48,61 kg
bad,56,32,Male,185 cm,110,https://www.superherodb.com/pictures2/portraits/10/100/249.jpg,38,Blackwing,20,Marvel Comics,null,35,10,86 kg
-,25,30,Male,188 cm,111,https://www.superherodb.com/pictures2/portraits/10/100/1508.jpg,50,Blackwulf,69,Marvel Comics,Alien,8,28,88 kg
good,28,90,Female,168 cm,114,https://www.superherodb.com/pictures2/portraits/10/100/1349.jpg,69,Bling!,52,Marvel Comics,null,12,14,68 kg
good,null,null,-,0 cm,113,https://www.superherodb.com/pictures2/portraits/10/100/34.jpg,null,Blaquesmith,null,Vertigo II,null,null,null,0 kg
good,90,50,Male,188 cm,112,https://www.superherodb.com/pictures2/portraits/10/100/33.jpg,63,Blade,40,Marvel Comics,Vampire,38,28,97 kg
good,64,28,Female,165 cm,115,https://www.superherodb.com/pictures2/portraits/10/100/35.jpg,50,Blink,77,Marvel Comics,Mutant,20,8,56 kg
bad,null,null,Male,0 cm,116,https://www.superherodb.com/pictures2/portraits/10/100/899.jpg,null,Blizzard,null,Marvel Comics,null,null,null,0 kg
bad,null,null,Male,0 cm,117,https://www.superherodb.com/pictures2/portraits/10/100/898.jpg,null,Blizzard,null,Marvel Comics,null,null,72,0 kg
bad,56,42,Male,175 cm,118,https://www.superherodb.com/pictures2/portraits/10/100/619.jpg,38,Blizzard II,47,Marvel Comics,null,27,10,77 kg
bad,72,95,Male,178 cm,119,https://www.superherodb.com/pictures2/portraits/10/100/1119.jpg,10,Blob,28,Marvel Comics,null,23,83,230 kg
bad,84,80,Female,218 cm,120,https://www.superherodb.com/pictures2/portraits/10/100/1509.jpg,63,Bloodaxe,100,Marvel Comics,Human,33,80,495 kg
bad,null,null,Male,30.5 meters,122,https://www.superherodb.com/pictures2/portraits/10/100/186.jpg,null,Bloodwraith,null,Marvel Comics,null,null,72,0 kg
good,64,80,Male,0 cm,121,https://www.superherodb.com/pictures2/portraits/10/100/1510.jpg,50,Bloodhawk,80,Marvel Comics,Mutant,50,10,0 kg
good,null,null,Male,0 cm,124,https://www.superherodb.com/pictures2/portraits/10/100/1010.jpg,null,Blue Beetle,null,DC Comics,null,null,null,0 kg
good,null,null,Male,0 cm,123,https://www.superherodb.com/pictures2/portraits/10/100/646.jpg,null,Blue Beetle,null,DC Comics,null,null,null,0 kg
good,null,null,Male,183 cm,125,https://www.superherodb.com/pictures2/portraits/10/100/1008.jpg,null,Blue Beetle II,null,DC Comics,null,null,45,86 kg
good,30,80,Male,0 cm,126,https://www.superherodb.com/pictures2/portraits/10/100/1009.jpg,50,Blue Beetle III,100,DC Comics,Human,58,34,0 kg
good,null,null,Male,0 cm,128,https://www.superherodb.com/pictures2/portraits/10/100/1340.jpg,null,Bolt,null,Marvel Comics,null,null,null,0 kg
bad,70,36,Male,183 cm,127,https://www.superherodb.com/pictures2/portraits/10/100/10467.jpg,63,Boba Fett,68,George Lucas,Human / Clone,38,10,0 kg
good,64,42,Female,165 cm,130,https://www.superherodb.com/pictures2/portraits/10/100/400.jpg,38,Boom-Boom,57,Meltdown,Mutant,12,10,55 kg
bad,null,null,Female,0 cm,129,https://www.superherodb.com/pictures2/portraits/10/100/1116.jpg,null,Bomb Queen,null,Image Comics,null,null,73,0 kg
good,null,null,Female,0 cm,131,https://www.superherodb.com/pictures2/portraits/10/100/259.jpg,null,Boomer,null,Marvel Comics,null,null,null,0 kg
good,null,null,Male,0 cm,133,https://www.superherodb.com/pictures2/portraits/10/100/864.jpg,null,Box,null,Marvel Comics,null,null,null,0 kg
good,null,null,-,193 cm,134,https://www.superherodb.com/pictures2/portraits/10/100/37.jpg,null,Box III,null,Marvel Comics,null,null,null,110 kg
bad,75,90,Male,198 cm,136,https://www.superherodb.com/pictures2/portraits/10/100/648.jpg,100,Brainiac,60,DC Comics,Android,63,95,135 kg
good,32,28,Male,170 cm,137,https://www.superherodb.com/pictures2/portraits/10/100/1183.jpg,100,Brainiac 5,60,DC Comics,null,23,10,61 kg
-,15,40,Male,193 cm,139,https://www.superherodb.com/pictures2/portraits/10/100/10642.jpg,69,Brundlefly,27,,Mutant,25,32,0 kg
bad,70,70,Male,183 cm,141,https://www.superherodb.com/pictures2/portraits/10/100/624.jpg,50,Bullseye,20,Marvel Comics,Human,25,11,90 kg
good,null,null,Male,183 cm,138,https://www.superherodb.com/pictures2/portraits/10/100/39.jpg,null,Brother Voodoo,null,Marvel Comics,Human,null,65,99 kg
good,56,28,-,0 cm,135,https://www.superherodb.com/pictures2/portraits/10/100/38.jpg,50,Box IV,11,Gemini V,null,23,75,0 kg
good,60,70,Female,157 cm,140,https://www.superherodb.com/pictures2/portraits/10/100/10430.jpg,63,Buffy,48,Dark Horse Comics,Human,42,28,52 kg
good,35,10,Female,170 cm,142,https://www.superherodb.com/pictures2/portraits/10/100/1542.jpg,63,Bumblebee,47,DC Comics,Human,25,28,59 kg
good,null,null,Male,0 cm,143,https://www.superherodb.com/pictures2/portraits/10/100/1346.jpg,null,Bumbleboy,null,Marvel Comics,null,null,null,0 kg
good,70,10,Male,0 cm,144,https://www.superherodb.com/pictures2/portraits/10/100/1541.jpg,38,Bushido,19,DC Comics,Human,8,10,0 kg
bad,85,42,Female,175 cm,146,https://www.superherodb.com/pictures2/portraits/10/100/271.jpg,63,Callisto,52,Marvel Comics,null,23,53,74 kg
good,70,28,Male,0 cm,147,https://www.superherodb.com/pictures2/portraits/10/100/1528.jpg,50,Cameron Hicks,51,SyFy,Alpha,23,10,0 kg
good,56,99,Male,183 cm,148,https://www.superherodb.com/pictures2/portraits/10/100/272.jpg,50,Cannonball,94,Marvel Comics,null,67,28,81 kg
good,80,56,Male,203 cm,145,https://www.superherodb.com/pictures2/portraits/10/100/40.jpg,88,Cable,100,Marvel Comics,Mutant,23,48,158 kg
good,100,55,Male,188 cm,149,https://www.superherodb.com/pictures2/portraits/10/100/274.jpg,69,Captain America,60,Marvel Comics,Human,38,19,108 kg
good,80,90,Male,193 cm,150,https://www.superherodb.com/pictures2/portraits/10/100/1007.jpg,81,Captain Atom,100,DC Comics,Human / Radiation,83,93,90 kg
good,80,60,Male,198 cm,151,https://www.superherodb.com/pictures2/portraits/10/100/276.jpg,75,Captain Britain,31,Marvel Comics,Human,50,77,116 kg
neutral,20,20,Male,0 cm,152,https://www.superherodb.com/pictures2/portraits/10/100/653.jpg,50,Captain Cold,28,DC Comics,Human,17,10,0 kg
good,null,null,Male,188 cm,153,https://www.superherodb.com/pictures2/portraits/10/100/3.jpg,null,Captain Epic,null,Team Epic TV,null,null,null,0 kg
good,20,30,Male,0 cm,154,https://www.superherodb.com/pictures2/portraits/10/100/10399.jpg,25,Captain Hindsight,10,South Park,Human,83,10,0 kg
good,null,null,Male,188 cm,155,https://www.superherodb.com/pictures2/portraits/10/100/654.jpg,null,Captain Mar-vell,null,Marvel Comics,null,null,80,108 kg
good,75,95,Male,193 cm,156,https://www.superherodb.com/pictures2/portraits/10/100/278.jpg,88,Captain Marvel,100,DC Comics,Human,88,100,101 kg
good,90,95,Female,180 cm,157,https://www.superherodb.com/pictures2/portraits/10/100/103.jpg,84,Captain Marvel,100,Binary,Human-Kree,71,88,74 kg
good,56,90,Male,175 cm,158,https://www.superherodb.com/pictures2/portraits/10/100/279.jpg,75,Captain Marvel II,34,DC Comics,Human,27,81,74 kg
good,null,null,Male,0 cm,159,https://www.superherodb.com/pictures2/portraits/10/100/10443.jpg,null,Captain Midnight,null,Dark Horse Comics,Human,null,null,0 kg
good,60,80,Male,0 cm,160,https://www.superherodb.com/pictures2/portraits/10/100/1285.jpg,50,Captain Planet,100,Marvel Comics,God / Eternal,75,88,0 kg
good,null,null,Female,173 cm,163,https://www.superherodb.com/pictures2/portraits/10/100/904.jpg,null,Cat,null,Marvel Comics,null,null,90,61 kg
good,null,null,-,0 cm,161,https://www.superherodb.com/pictures2/portraits/10/100/855.jpg,null,Captain Universe,null,Marvel Comics,God / Eternal,null,92,0 kg
good,null,null,Female,0 cm,164,https://www.superherodb.com/pictures2/portraits/10/100/903.jpg,null,Cat II,null,Marvel Comics,null,null,null,0 kg
bad,90,84,Male,185 cm,162,https://www.superherodb.com/pictures2/portraits/10/100/187.jpg,63,Carnage,88,Marvel Comics,Symbiote,70,63,86 kg
good,85,28,Female,175 cm,165,https://www.superherodb.com/pictures2/portraits/10/100/659.jpg,69,Catwoman,27,DC Comics,Human,33,11,61 kg
good,100,64,Male,201 cm,167,https://www.superherodb.com/pictures2/portraits/10/100/1511.jpg,88,Century,100,Marvel Comics,Alien,53,80,97 kg
good,null,null,-,170 cm,166,https://www.superherodb.com/pictures2/portraits/10/100/43.jpg,null,Cecilia Reyes,null,Marvel Comics,null,null,null,62 kg
good,64,80,Male,175 cm,169,https://www.superherodb.com/pictures2/portraits/10/100/44.jpg,50,Chamber,57,Marvel Comics,Mutant,20,10,63 kg
good,null,null,Female,0 cm,168,https://www.superherodb.com/pictures2/portraits/10/100/1512.jpg,null,Cerebra,null,Marvel Comics,Mutant,null,57,0 kg
bad,64,42,Male,180 cm,171,https://www.superherodb.com/pictures2/portraits/10/100/1107.jpg,63,Changeling,64,Marvel Comics,null,23,10,81 kg
bad,28,28,Male,0 cm,170,https://www.superherodb.com/pictures2/portraits/10/100/660.jpg,88,Chameleon,28,DC Comics,null,12,10,0 kg
bad,70,20,Female,163 cm,172,https://www.superherodb.com/pictures2/portraits/10/100/661.jpg,38,Cheetah,32,DC Comics,Human,42,8,50 kg
bad,null,null,Male,185 cm,175,https://www.superherodb.com/pictures2/portraits/10/100/1001.jpg,null,Chromos,null,Team Epic TV,null,null,null,86 kg
bad,95,80,Female,175 cm,174,https://www.superherodb.com/pictures2/portraits/10/100/926.jpg,88,Cheetah III,78,DC Comics,Human,88,100,54 kg
good,99,56,Male,178 cm,176,https://www.superherodb.com/pictures2/portraits/10/100/954.jpg,50,Chuck Norris,42,null,null,47,80,0 kg
good,60,100,Male,183 cm,177,https://www.superherodb.com/pictures2/portraits/10/100/10661.jpg,50,Citizen Steel,23,DC Comics,Human,33,95,170 kg
good,28,100,Female,0 cm,178,https://www.superherodb.com/pictures2/portraits/10/100/941.jpg,38,Claire Bennet,90,NBC - Heroes,null,12,9,0 kg
good,null,null,-,0 cm,179,https://www.superherodb.com/pictures2/portraits/10/100/45.jpg,null,Clea,null,Marvel Comics,null,null,39,0 kg
good,56,64,Male,226 cm,180,https://www.superherodb.com/pictures2/portraits/10/100/46.jpg,63,Cloak,100,Marvel Comics,null,47,10,70 kg
bad,null,null,Male,0 cm,182,https://www.superherodb.com/pictures2/portraits/10/100/1074.jpg,null,Cogliostro,null,Image Comics,null,null,null,0 kg
bad,40,10,Male,178 cm,181,https://www.superherodb.com/pictures2/portraits/10/100/10396.jpg,75,Clock King,7,DC Comics,Human,17,10,78 kg
good,null,null,Male,0 cm,183,https://www.superherodb.com/pictures2/portraits/10/100/1153.jpg,null,Colin Wagner,null,HarperCollins,null,null,null,0 kg
good,null,null,Male,0 cm,184,https://www.superherodb.com/pictures2/portraits/10/100/1182.jpg,null,Colossal Boy,null,DC Comics,null,null,null,0 kg
